Hospital,Contact,Phone No,Normal Bed,Oxygen Bed,Found Useful(1hr),Notes,Comments,Up Votes,Address,Total Beds,Updated On
Max Smart Gujarmal Modi hospital -Saket,N/A,1171212121,66,N/A,0,N/A, | V | Vinay40m | Need oxygen bed. Present oxygen level is 85-86 | P | Pushkar BindraYesterday | Need oxygen beds in delhi. | S | SumitYesterday | Need bed in Max Gujarmal modi for One of my Close Friend. Kindly confirm availability.. | S | SumitYesterday | Hi..R they responding | A | Arun kumar Gupta Yesterday | Require urgent bed to COVID patient-his CT scan report of26/4/21 are 14/25-please help me  | S | Shobhit AgarwalYesterday | Urgently need a oxygen bed for 38/m. | Oxygen level currently 86. | Name - Rakesh Sharma | Address - Sangam Vihar | Phone - +91 99588 72235 | S | Saswata halderYesterday | Need immediate hospitalisation with oxygen cylinder. | Patient details : | Patient Name: Sarbari Guha | Patient Age:61 | Female | Address: Shouvik Guha | Flat# 5- 2nd floor- Property No 591 | Saidulajab | NEW DELHI- DELHI 110030 | India | Phone number: ?9654910170? | Attendant Name: Shouvik Guha | Attendant phone no: 9654910170- 8100657465 | Issue: Civic+ | Oxy -82 | Comorbities:Bp | Urgent Hospitalization with oxygen support. | M | Mayank MattaYesterday | Need bed urgently for covid patient - Name: Vijay Matta | Age: 68- Phone no: +91 98993 20553 | R | Ravi guptaYesterday | A young boy -25- covid positive- blood in cough- persistent cough requires immediate bed- be it non icu. Please confirm 9818117533. | R | Ravi guptaYesterday | A young boy -25- covid positive- blood in cough- persistent cough requires immediate bed- be it non icu. Please confirm 9818117533. | S | Sharanita Keswani Yesterday | Need a hospital room for 27 year old covid patient requiring oxygen support . Started steroids. 8th day  | S | Suman NayakYesterday | Dear Sir | We need a room/bed for 22 yr male - having trouble with Covid lungs r not clear bin CT scan | Pls contact 9711144961 | 9873901671 | ? | ????Tuesday | ????????? ?? ????? ???- ?????? ???? ?? ????? ??? ???? +918802128116 | S | Sumit verma Tuesday | Sumit verma | Need bed for covid patient and we have oxygen concentrator please give admission | Mo no 9871835000 | A | Aqsa ParveenTuesday | Need urgent bed for my mother. | Name:Chaman Ara | Age: 61 | Mobile no: 8800683348 | N | NehaTuesday | Patient - Kapil Malhotra | Severe Covid pneumonia HT 15/18 | Need bed with oxygen urgently pls help. | Y | yoginderTuesday | Name - Dinesh Saini | Age - 53 | O2- 70 | F. No 803 Ganga Tower 6- D-6- Vasant Kunj- New Delhi - 110070 | H | Himanshu Tuesday | Need urgent availability of bed for patient Renu chauhan. Contact - himanshu - 9881920342. please help required. | C | COVID PNeumonia CT severity 22/25 Hi my brother name is sheel kumar he is very serious and youngTuesday | COVID Pneumonia serious condition CT severity 22/25 Hi my brother name is sheel kumar he is very serious and young | He NEED BED with Oxygen | Please 8860898901 | R | RahulTuesday | Hello -My brother is in urgent need of a bed. Please contact on 7507782239 | P | Pooja AvasthiTuesday | Bed required for elderly laduly aporx 60yrs | A | AmanjotTuesday | One bed for an elderly who oxygen is 60. Needs ventilator bed. | One bed for aged 55- needs ventilator bed. | Kindly respond | Pallavi Misra Tuesday | Bed with oxygen urgently neeed for elderly Patient | R | RamikaTuesday | Hi...looking for an icu with ventilator for a friend's father- he is 60 years and oxygen level is 85 | N | Need bed for my brother in law and mother in law.... Can please help me Tuesday | Need two bed for my family | P | PankhuriTuesday | Bed with oxygen available?  | S | Sumit chandna Tuesday | Hello Sir...I need a bed with a ventilator in Delhi_NCR for my friend Mrs.Sheetal Sharma who's battling for her life...Her husband Sandeep Sharma can be reached at 9899032258. Please help.? | S | SimranTuesday | Bed available right now? | J | Jayashree Tuesday | Need an icu bed for an 85 years | Old patient | And one oxygen bed for 50 year old  | Please help  | K | KpTuesday | Max ceo has stopped admissions because of no oxygen and major nos. Of dr. Are getting positive thre | A | Angel AbrolTuesday | My fathers oxy level below 85 and called up max smart but no one taking calls. Site shows they have vacant beds. Pls assist??  | R | Rimi KaranTuesday | Please help any oxygen bed available | B | Bharat caprihan Monday | Our patient critical covid positive high co morbidities diabetic heart issues oxygen at 88 with concentrator  |  Pl contact  | 9811640575  | Madhu suri p | V | Vipul Bakshi. Monday | No one picked up. 26/04/21; 9:02 PM | D | Digraj SinghMonday | They took the call after a long ring. Have taken the request | D | Deepanshu GuptaMonday | No one picked up the phone. | TIme: 6:15PM | Date: 26/4/2021 | S | sohini paniMonday | no beds available but they have said will call back | B | BhavishyeMonday | 0 beds available | L | Lalit MohanMonday | 26 April - Keep trying the number - They have taken my contact number and will call back. | L | Lalit MohanMonday | i tried number given but auto answer and then no reply | M | ManojMonday | No one is picking at 2:28 Am on 26 April | D | D BhattacharyaMonday | No ventilator or ICU available at 00:15am. | Picked up the phone. Much appreciated. | S | ShubhamSunday | No beds available @ 11:42pm 25th March | S | SudhaSunday | No one pkng up tried just now at 10.02pm, -,,,29-04 12:56:07
Rathi Hospital- Najafgarh,N/A,9871173355,0,N/A,0,N/A, | V | VatsalTuesday | No beds @11.48am 27apr | L | LMonday | the number's busy 26 apr 4:01pm, -,,,29-04 12:56:10
Sant Parmanand Hospital- Civil Lines,N/A,1123994401,4,N/A,0,N/A, | C | COVID PNeumonia CT severity 22/25 Hi my brother name is sheel kumar he is very serious and youngTuesday | COVID Pneumonia serious condition CT severity 22/25 Hi my brother name is sheel kumar he is very serious and young | He NEED BED with Oxygen | Please 8860898901 | N | Nishi SalujaSunday | No beds available at 11:00pm (25/04) | V | Vikas JainSunday | Not picking up 10:15pm25 apr, -,,,29-04 12:56:14
Apex City Hospital- West Vinod Nagar,N/A,8826395149,0,N/A,0,N/A,, -,,,29-04 12:56:17
Rajiv Gandhi Cancer Institute & RC- Rohini*,N/A,9717888473,0,N/A,0,N/A,, -,,,29-04 12:56:22
Shakuntala Nursing Home- West Sagarpur,N/A,9211783762,0,N/A,0,N/A,, -,,,29-04 12:56:26
Acharyashree Bhikshu Govt. Hospital,N/A,1125423514,0,N/A,0,N/A, | V | VivekMonday | Number useless..sampark nhi ho pa rha, -,,,29-04 12:56:30
Maharaja Agrasen Hospital- Dwarka,N/A,8826824672,0,N/A,0,N/A,, -,,,29-04 12:56:34
K K Surgical & Maternity Centre,N/A,9999577020,40,N/A,0,N/A, | V | Vasudha16m | Switched off 12:40 pm Thursday | Anosh Mehta Tuesday | Only surgeries | R | Rita SinghTuesday | URGENTLY ! Need ventilator for 55 years old - oxygen level 35 please contact 9910072911 | S | ShaileshMonday | Number Busy at 14:14 pm | N | NamitaMonday | They said it’s only a surgical centre. 12.28pm Apr 26 | R | Rasmeet SinghSunday | Switched off- 21:35pm, -,,,29-04 12:56:37
Kukreja Hospital and Heart Centre- Rajouri Garden,N/A,7982046610,46,N/A,0,N/A, | S | SarthakYesterday | Name :Anu alang | Age 48 | Diabetes hypertension | Hrct 16/25 | Spo2 below 90 | Need a bed with oxygen support. Patient in Rohini. | R | RishikaYesterday | Hi is 1 bed available? 28 April- 14:15 / 2:15 pm | 67 ur old denial high diabetes  | S | ShivTuesday | Tuesday 27th April 11am no bed available for covid with or without oxygen | S | sunita GambhirMonday | This is really joke happening . All over you came hospital and there is only one reply that these are quarantine beds . Common are people looking for Covid treatment or quarantine ? This is like fooling the people  | S | ShaliniMonday | No beds available | Verified 26apr 230pm | S | Shallu Sunday | No beds | A | Amarkant SinghSunday | No beds available 10:16 pm 25 April, -,,,29-04 12:56:41
Lalita Hospital- Begumpur,N/A,8595075850,0,N/A,0,N/A,, -,,,29-04 12:56:44
Vikas Hospital- Najafgarh,N/A,8744077882,10,N/A,0,N/A, | V | Vasudha14m | 0 beds. 12:40 pmThursday | P | PRAVEEN BHARTITuesday | They simply say no beds available app and site shows wrong information ...... | P | PRAVEEN BHARTITuesday | Not answering | V | VatsalTuesday | Switched off 11.37am 27 apr | V | vineethMonday | number seems to be busy at 10:24 pm on april 26 | S | ShaileshMonday | Number not connected at 14:11 pm | S | Shubham pandeyMonday | No one is picking phone, -,,,29-04 12:56:48
IBS Hospital- Lajpat Nagar,N/A,1143210000,0,N/A,0,N/A, | Sagar Monday | Zero availability @ 21:55, -,,,29-04 12:56:51
Mata Roop Rani Maggo Hospital- Uttam Nagar,N/A,1161290000,0,N/A,0,N/A, | B | BrajesoniYesterday | No bed @12.14 pm, -,,,29-04 12:56:54
Mata Chanan Devi Hospital- Janakpuri,N/A,8920601050,0,N/A,0,N/A, | B | BrajesoniYesterday | No bed available @12.12pm | A | AkshayYesterday | No answer.. 7:25am@28th Apr  | D | Deepti Dabas Tuesday | Beds unavailable at 10:45 27th April | S | Sahil KapoorTuesday | No bed available at chanan devi hospital | P | PRAVEEN BHARTITuesday | Not answering at all fucking assholes | P | PRAVEEN BHARTITuesday | Now busy .... | P | PRAVEEN BHARTITuesday | No answer | S | saminder Monday | the no is connecting at all.  | T | TarunMonday | Checked at 11.00 PM | T | TarunMonday | No body is answering the call | R | RitikaMonday | Not answering | N | NidhiMonday | Number busy at 12:31 am 26 april | N | NidhiSunday | No one answering checked at 10:10pm, -,,,29-04 12:56:57
Gandhi Nursing Home- Uttam Nagar,N/A,1125335099,0,N/A,0,N/A,, -,,,29-04 12:57:01
SURYA KIRAN HOSPITAL,N/A,011-25322335,20,N/A,0,N/A, | V | Vasudha16m | Invalid | Harish Monday | No one picking phone | V | vineethMonday | number seems to be busy at 10:24 pm on april 26 | S | ShaileshMonday | Number Busy at 14:12 pm | R | RohitMonday | No one picking @4:23 am | B | Busy at 23.21Sunday | Busy | K | Komal PanwarSunday | Busy, -,,,29-04 12:57:04
Metro Hospital- Lajpat Nagar,N/A,1142424343,0,N/A,0,N/A,, -,,,29-04 12:57:08
Tirath Ram Shah Charitable Hospital- Civil Lines,N/A,8375975629,2,N/A,0,N/A, | N | neha kumar Tuesday | ANY VENTILATOR BED AVAILABLE ? | NEED A ICU BED | IMMEDIATELY | OXYGEN LEVEL 58 | CRITICAL POSITION | CONTACT NO. 7835801416 | WE BELONG TO POOR FAMILY AND NO ONE HELPING US | S | SeemaTuesday | Bed with oxygen support required for amit 40 years urgently ph 9990203604 | C | COVID PNeumonia CT severity 22/25 Hi my brother name is sheel kumar he is very serious and youngTuesday | COVID Pneumonia serious condition CT severity 22/25 Hi my brother name is sheel kumar he is very serious and young | He NEED BED with Oxygen | Please 8860898901 | A | Anas HusainTuesday | Beds not available | Verified at 6:28 am | Sagar Monday | switched off at 22:00 | V | VishwajeetMonday | Switched off | S | Sunil UniyalMonday | Tried just now. No bed available. Need to check availability by afternoon on 26 Apr 21. | T | TanviSunday | No bed available 9.26 pm 25th april, -,,,29-04 12:57:11
Jeevan Anmol Hospital- Mayur Vihar Phase-I,N/A,1122795237,2,N/A,0,N/A, | V | Vasudha20m | O beds | R | RohitMonday | No one picking the call @4:20 am 26/04 | K | Komal PanwarSunday | Line busy, -,,,29-04 12:57:15
Tulsi Multispeciality Hospital & Critical Care Unit,N/A,8410445275,24,N/A,0,N/A, | G | GurprwetYesterday | Is there anu ICU bed available | S | SudhaYesterday | My mother health is depleting her cT scan severity is 18/25. She is a heart patient and gasping for breath. Please arrange her an ICU | C | COVID PNeumonia CT severity 22/25 Hi my brother name is sheel kumar he is very serious and youngTuesday | COVID Pneumonia serious condition CT severity 22/25 Hi my brother name is sheel kumar he is very serious and young | He NEED BED with Oxygen | Please 8860898901 | T | Tulika Monday | Contact number verified- 9650203034 | No beds available- no oxygen | S | ShaileshMonday | Number Swich off..14:11 pm | H | Hushnee Monday | Number switched off | S | Sunil UniyalMonday | Number switched off... | V | Vikas JainSunday | Switched off 10:15/pm 25 apr | K | Komal PanwarSunday | Switch off, -,,,29-04 12:57:19
PGH Hospital- Vikas Nagar,N/A,9599198053,30,N/A,0,N/A, | A | AnuMonday | Switched off. 26th April 7 pm  | N | NidhiSunday | No beds available at 10:15pm, -,,,29-04 12:57:23
Bansal Global Hospital- Jahangirpuri,N/A,9811062832,0,N/A,0,N/A,, -,,,29-04 12:57:26
Maharaja Agarsain Multispecialty Hospital- Narela,N/A,9891654929,0,N/A,0,N/A, | Anosh Mehta Tuesday | No beds left- no new admissions. 1235 hrs 27/04 | A | AnujTuesday | Bed available but no oxygen  | R | RiddhiTuesday | They have beds but no oxygen so they're not admitting new patients. | S | ShubhamMonday | Oxygen not available- beds available. Verified at 10.26pm- April 26, -,,,29-04 12:57:30
MANIPAL HOSPITAL- DWARKA,N/A,7978031920,0,N/A,0,N/A,, -,,,29-04 12:57:33
Northern Railway,N/A,1123747984,4,N/A,0,N/A, | S | Shalini Yesterday | Oxygen bed available..if yes ..then share no. Plz, -,,,29-04 12:57:36
GTB Hospital,N/A,8595948014,0,N/A,0,N/A, | M | MeenuYesterday | I need a bed for my brother he is 39 years old .living in Wazirabad village .. kindly update. his oxygen level is getting down.lateat saturation is 75 ..plz help ..alteast arrange a single .so I can save brother's life..plz help | 7835994706- 8851337300 | N | neha kumar Tuesday | ANY VENTILATOR BED AVAILABLE ? | NEED A ICU BED | IMMEDIATELY | OXYGEN LEVEL 58 | CRITICAL POSITION | CONTACT NO. 7835801416 | WE BELONG TO POOR FAMILY AND NO ONE HELPING US | N | Number switched off - 25th april 2021 11:53Monday | Phn number not answered. 26-04-21 00:01, -,,,29-04 12:57:39
BLK Hospital- Pusa Road,N/A,8448386700,84,N/A,0,N/A, | B | Bhavya6h | Number busy as of 6.45am- 29 Apr | K | Kunal Yesterday | Need a bed urgently oxygen level is dropping and the fever has gone up to 104.5 | S | Satya Prakash SinghYesterday | All please use mother tincture Aspidosperma Q a homeopathic medicine for increasing oxygen level instantly  | 10 drops in some water | A | AnkurYesterday | Need urgent bed for covid pTient in delhi | Seema 57y female | oxygen level dipping fast currrntly 80. Urgent help | M | Mayank MattaYesterday | Need bed urgently for covid patient - Name: Vijay Matta | Age: 68- Phone no: +91 98993 20553 | A | AtulYesterday | No beds 10 am  | S | Sumit verma Tuesday | Need bed for covid patient and we have oxygen concentrator please give admission | A | Akhil Tuesday | Need oxygen bed for pregnant lady please call 9911279927 and share direct number  | J | Jharna ChawlaTuesday | Oxygen bed not available verified - 7 pm - 27th April | A | AnkitTuesday | BLK Hospital Pusa Road - 8448386700 | Non-oxygen bed is available | Personally verified on 27th April 6:30pm | V | V K AGGARWAL Tuesday | Request for a bed with Oxygen facilities. Present Oxygen level is 80 | She is diabetic too | Sushma Aggarwal | F/61 | H | HariomTuesday | Bed available 120-they told they are non covid by mistake they are appearing- no real time information received. | AishTuesday | No bed available verified at 8.53 am 27 april | A | AnujTuesday | Nothing available  | B | BabitaMonday | Not useful...the beds available are for the people who wants to stay in quarantine without any medical help....very surprising | S | ShamaMonday | No beds available @2:19 am | S | SharmisthaMonday | Numbers just dial | 011-30403040 | 011 - 30653000 | 09015443040 | No beds available at 26th April 1.43 am | K | KamaldeepSunday | Number is busy- tried couple of times @ 11:35 pm 25- Apr | V | VasudhaSunday | No beds available in last one hour...please update database | A | Adesh TyagiSunday | No beds checked today in last one hr | P | PranavSunday | No beds available. Checked 8:34 pm 25-April | G | GDSunday | Wrong phone number, -,,,29-04 12:57:44
Khandelwal Hospital And Urology Center,N/A,9212745664,6,N/A,0,N/A, | V | Vasudha11m | 0 available | A | Adarsh GuptaYesterday | Any bed available for a 69 yr old lady. It's Hard for her to maintain oxygen level . She has lung issues and she is not fully conscious. She has no fever .Adarsh Gupta- Age 69- Female. Address: 12/655 Vasundhara Ghaziabad- 201012. Contact person Deepak 9899441091 | S | ShaileshMonday | Number swichoff.. | N | Nishi SalujaSunday | Non oxygen bed available at 11:25pm(25/04) | N | Nishi SalujaSunday | Not answering at 11:10pm (25/04) | ChitraSunday | Number busy at 10:23 PM | S | Shakshi sonthaliaSunday | Non oxygen beds available 10:15 pm | G | GarimaSunday | Switched off....8 55 pm....25th April, -,,,29-04 12:57:48
Samar Hospital- Dwarka,N/A,9818096199,0,N/A,0,N/A,, -,,,29-04 12:57:52
Mansaram Hospital- Nangloi,N/A,8285853737,12,N/A,0,N/A, | S | Sunny 5h | No bed or oxygen available any where | A | Amit SainiYesterday | Any oxygen bed available here? | V | Vaibhav KathuriaTuesday | Oxygen bed not available. Called n talked. 1220 pm. Apr 27. | V | VatsalTuesday | Did not pick up @11.45am 27 apr | R | RajatSunday | No beds available- 10.20pm- 25 april, -,,,29-04 12:57:55
Dr. Chaudhary Moral Hospital- Yamuna Vihar,N/A,9810110566,0,N/A,0,N/A,, -,,,29-04 12:57:59
Sehgal Neo Hospital- Paschim Vihar,N/A,8527597171,7,N/A,0,N/A, | S | StrangerMonday | No beds available 2:00 am 26 april | V | VansSunday | No beds available 9:51pm 25 April  | T | TanviSunday | No one picking 9.25 pm 25th april, -,,,29-04 12:58:02
Cygnus MLS- Rama Vihar,N/A,9999655155,0,N/A,0,N/A,, -,,,29-04 12:58:06
Ambedkar Nagar hospital,N/A,1126052016,0,N/A,0,N/A, | N | neha kumar Tuesday | ANY VENTILATOR BED AVAILABLE ? | NEED A ICU BED | IMMEDIATELY | OXYGEN LEVEL 58 | CRITICAL POSITION | CONTACT NO. 7835801416 | WE BELONG TO POOR FAMILY AND NO ONE HELPING US | A | Ankush Sunday | Number is switched off, -,,,29-04 12:58:09
Madhukar Rainbow Children Hosp.- Malviya Nagar,N/A,9100065913,44,N/A,0,N/A, | V | Vasudha24m | Switched off...please put it down | S | Satya Prakash SinghYesterday | Use Aspidosperma Q mother tincture a homeopathic medicine 10 drops in some water to instantly increase oxygen level. No harm to check once | C | COVID PNeumonia CT severity 22/25 Hi my brother name is sheel kumar he is very serious and youngTuesday | COVID Pneumonia serious condition CT severity 22/25 Hi my brother name is sheel kumar he is very serious and young | He NEED BED with Oxygen | Please 8860898901 | U | UmeshMonday | Rainbow hospital @ 18002122. Beds are there but only for children and pregnant women. | S | SP SinghMonday | Yours is a children’s hospital. But- during this pandemic bed crisis- non children patients may be admitted. As beds are available in your hospital.  | D | DarshanSunday | Please note - Beds only for children and pregnant women | M | mishaSunday | number busy | M | mishaSunday | not picking. trying since 10 | N | NidhiSunday | Number busy at 10:14pm, -,,,29-04 12:58:12
Sir Ganga Ram Hospital,N/A,1142253001,0,N/A,0,N/A, | S | Sanjay SharmaYesterday | My elder brother (A National Poet) Shri R.P.Sharma is in Urgent Need of ICU/Oxygen Bed. His oxygen level had dropped to around 75 yesterday- his CT Chest Severity Score is 15/25 and he is in Urgent Need of Admission so that he can immediate get required Medical Care & Attention. Please Help????? | Sanjay Sharma | 7506748375 | N | neha kumar Tuesday | ANY VENTILATOR BED AVAILABLE ? | NEED A ICU BED | IMMEDIATELY | OXYGEN LEVEL 58 | CRITICAL POSITION | CONTACT NO. 7835801416 | WE BELONG TO POOR FAMILY AND NO ONE HELPING US, -,,,29-04 12:58:16
Bhagwati Hospital- Rohini,N/A,1143126000,0,N/A,0,N/A,, -,,,29-04 12:58:19
AASTHA HOSPITAL,N/A,9250913363,0,N/A,0,N/A,, -,,,29-04 12:58:23
Ansari Hospital- Sagarpur,N/A,8373904800,0,N/A,0,N/A, | S | Sukhbir Singh Tuesday | Need icu bed for covid patient with oxygen supply, -,,,29-04 12:58:26
Santom Hospital- Prashant Vihar,N/A,1127562255,0,N/A,0,N/A,, -,,,29-04 12:58:29
NKS Hospital- Gulabi Bagh,N/A,8130894500,0,N/A,0,N/A,, -,,,29-04 12:58:33
Kapil Multispecialty Hospital- Nathupura,N/A,9990781810,0,N/A,0,N/A,, -,,,29-04 12:58:37
MAX SS HOSPITAL- PATPARGANJ,N/A,8800333777,15,N/A,0,N/A, | S | Sandeep 3h | No one is taking the call  | S | Sandeep 3h | Looking for a bed for my father in law  | Oxygen level is 88  | Covid positive  | Suffering from sugar and hypertension already  | S | Swati Srivastava11h | Need an ICU for my father who's critical- 71 years old asap | A | abhishekYesterday | Need a bed with oxygen for my mother. | Age 67- | Spo2 level is below 90 | J | JohnYesterday | Need bed for Manoj 32yrs urgent. 9970646671 | R | Rajat SharmaYesterday | Patient name- Bipin | Oxygen level-45% | Phone no 9810063964 | Location- Greater Noida | Need a bed with oxygen support urgently  | S | SarthakYesterday | Name :Anu alang | Age 48 | Diabetes hypertension | Hrct 16/25 | Spo2 below 90 | Need a bed with oxygen support. Patient in Rohini. | S | Saswata halderYesterday | Need immediate hospitalisation with oxygen cylinder. | Patient details : | Patient Name: Sarbari Guha | Patient Age:61 | Female | Address: Shouvik Guha | Flat# 5- 2nd floor- Property No 591 | Saidulajab | NEW DELHI- DELHI 110030 | India | Phone number: ?9654910170? | Attendant Name: Shouvik Guha | Attendant phone no: 9654910170- 8100657465 | Issue: Civic+ | Oxy -82 | Comorbities:Bp | Urgent Hospitalization with oxygen support. | M | Mayank MattaYesterday | Need bed urgently for covid patient - Name: Vijay Matta | Age: 68- Phone no: +91 98993 20553 | E | Ekta BhasinYesterday | Need a bed for a 70 ply elderly man... urgent as his oxygen level is really down .. we r desperate  | T | Tanuja JhaYesterday | Need a bed with ventilator urgently | A | Adarsh GuptaYesterday | Any bed available for a 69 yr old lady. It's Hard for her to maintain oxygen level . She has lung issues and she is not fully conscious. She has no fever .Adarsh Gupta- Age 69- Female. Address: 12/655 Vasundhara Ghaziabad- 201012. Contact person Deepak 9899441091 | K | Karan chhabraYesterday | plz help | There is urgent need for ICU bed . | Patient name: Ravin Kumar Khurana | Age: 37 | Admitted to Max Hospital- Patparganj New Delhi | Attendee’s contact: Anita Khurana : 9899133703 | S | Shivani KhajotiaYesterday | Need a vantilator with bed in I c u it's really v v v v v urgent pl help | S | Suman NayakYesterday | Sir / Madam- | We need a bed for a 22 yr male patient -is having trouble w covid lungs r not clear in CT scan. Pl check if a room can be arranged . Pls contact 9711144961 | 9873901671 | ? | ????Tuesday | ????????? ?? ????? ???- ?????? ???? ?? ????? ??? ???? +918802128116 | P | PoojaTuesday | Need bed for 73 yr old ..critical condition | P | PoojaTuesday | Need bed for 73 year old with oxygen level 84 | V | V K AGGARWAL Tuesday | Request for a bed with Oxygen facilities. Present Oxygen level is 80 | She is diabetic too | Sushma Aggarwal | F/61 | J | JyotiMonday | 25 beds available is incorrect... They have none & a waiting list of 250 | V | VivekMonday | Number going switched off | N | Neha AroraMonday | No bed is available...verified at 6.50 pm on 26th April. | D | DeepakMonday | In max ppt ganj no body take our calls now number switch off. | A | AshokMonday | There is no any kind of bed avilable at 14.29 26 April 2021 | A | AshokMonday | There is any kind of bed avilable at 14.28 26 April 2021. | N | Number is switched offMonday | Number switched off, -,,,29-04 12:58:41
Sushila Hospial,N/A,9999390291,0,N/A,0,N/A,, -,,,29-04 12:58:44
INDRAPRASTHA APOLLO HOSPITAL- SARITA VIHAR,N/A,1126925801,0,N/A,0,N/A, | R | RAJNISH Yesterday | Mr. BIL needs a bed in around NOIDA. He is down with covid for 10 days. Having high fever on his 9th day with dropping of oxygen level to 78 last night. His age is 62 plus and requires urgent hospitalisation., -,,,29-04 12:58:48
Bara Hindurao Hospital,N/A,1123905839,0,N/A,0,N/A, | C | ChhaviTuesday | Need oxygen bed pls | P | Priyadarshini Vig Tuesday | Answered. Was very polite. No beds available, -,,,29-04 12:58:51
Burari Hospital,N/A,1127611215,0,N/A,0,N/A, | N | neha kumar Tuesday | ANY VENTILATOR BED AVAILABLE ? | NEED A ICU BED | IMMEDIATELY | OXYGEN LEVEL 58 | CRITICAL POSITION | CONTACT NO. 7835801416 | WE BELONG TO POOR FAMILY AND NO ONE HELPING US | A | Any bed available for 58 year old type 2 diabetic liver infection CRP 179 covid positiveTuesday | Need bed for my mom oxy 82 age 58 | Liver infection CRP 179 | Covid positive, -,,,29-04 12:58:55
Panchsheel Hospital- Yamuna Vihar,N/A,9717611842,0,N/A,0,N/A,, -,,,29-04 12:59:00
Kosmos Super Specialty Hospital- Vikas Marg Extn.,N/A,8447696223,0,N/A,0,N/A,, -,,,29-04 12:59:03
ESIC Hospital Jhilmil,N/A,011-22152197,0,N/A,0,N/A, | S | SarthakYesterday | Name :Anu alang | Age 48 | Diabetes hypertension | Hrct 16/25 | Spo2 below 90 | Need a bed with oxygen support. Patient in Rohini. | C | Charanjeet 68 years sugar pairent need bed urgently please supportYesterday | Need help bed ? request for covid patient.68 year old | M | Mayank MattaYesterday | Need bed urgently for covid patient - Name: Vijay Matta | Age: 68- Phone no: +91 98993 20553 | R | Ravi guptaYesterday | A young boy -25- covid positive- blood in cough- persistent cough requires immediate bed- be it non icu. Please confirm 9818117533. | ? | ????Tuesday | ????????? ?? ????? ???- ?????? ???? ?? ????? ??? ???? +918802128116 | D | DivyaniTuesday | Need ventilator | D | DivyaniTuesday | Need ventilator in Ghaziabad urgently. Right now. | Contact- 9999601181 | P | PammiTuesday | Urgent need 1 Bed with oxygen | C | COVID PNeumonia CT severity 22/25 Hi my brother name is sheel kumar he is very serious and youngTuesday | COVID Pneumonia serious condition CT severity 22/25 Hi my brother name is sheel kumar he is very serious and young | He NEED BED with Oxygen | Please 8860898901 | A | AlokTuesday | Phone number not working, -,,,29-04 12:59:07
Sir Ganga Ram City Hospital,N/A,1142255555,0,N/A,0,N/A, | A | Adarsh GuptaYesterday | Any bed available for a 69 yr old lady. It's Hard for her to maintain oxygen level . She has lung issues and she is not fully conscious. She has no fever .Adarsh Gupta- Age 69- Female. Address: 12/655 Vasundhara Ghaziabad- 201012. Contact person Deepak 9899441091 | S | ShraddhaYesterday | I need a bed with oxygen | C | COVID PNeumonia CT severity 22/25 Hi my brother name is sheel kumar he is very serious and youngTuesday | COVID Pneumonia serious condition CT severity 22/25 Hi my brother name is sheel kumar he is very serious and young | He NEED BED with Oxygen | Please 8860898901 | A | Abhishek RTuesday | I need oxygen bed/ ICU for my father. 68yrs- SPo2 in 70s (73-76). Please help. Contact 9158817249 | M | MayankTuesday | Not picked | V | V K AGGARWAL Tuesday | Request for a bed with Oxygen facilities. Present Oxygen level is 80 | She is diabetic too | Sushma Aggarwal | F/61 | Anosh Mehta Tuesday | Waitlist 300+ 1246 hrs 27 April | V | VatsalTuesday | No admission due to lack of oxygen @11.50 27apr | P | Prerna GuptaMonday | No bed available as of 10:00pm- 26 april | Sagar Monday | No ventilator beds available as of 22:00 | A | Alok JainMonday | Admission denied due to lack of Oxygen | ShrutiMonday | No ICU bed available at 11:37 am on 26 April 2021. But they picked up the phone. | R | RashiMonday | No beds available- 11:20 26/4 | V | Vikas JainSunday | Not picking up 10:15pm -/25 april | R | RajatSunday | No beds available as oxygen is no there- time 8pm- 25th april, -,,,29-04 12:59:10
Fortis Hospital- Shalimar Bagh,N/A,9821051424,0,N/A,0,N/A, | D | DC ChetanTuesday | We supply Oxygen Concentrator- BiPAP Machine- Transport Ventilator- ICU Ventilator for Homecare and Hospital use. Please contact Mr DC Chetan on 9663383550 if you need any assistance. Warm regards- www.benakahealthcare.com, -,,,29-04 12:59:14
Jain Hospital- Vikas Marg Extn.,N/A,9015111222,0,N/A,0,N/A, | A | AnuMonday | Beds not available on 26th April 7 pm  | S | Shakshi sonthaliaSunday | Not available now but they told to ask tomorrow 10:54pm 25 april, -,,,29-04 12:59:17
Malik Radix Hospital,N/A,1122011192,0,N/A,0,N/A, | N | Neha jainMonday | They shared this number for covid beds:9540752673- but no one is picking, -,,,29-04 12:59:20
RLKC Metro Hospital- Naraina,N/A,1161316666,0,N/A,0,N/A, | K | Kartik SinghSunday | No beds- checked at 10:48pm 25/4, -,,,29-04 12:59:23
Garg Hospital- Karkardooma,N/A,1143274444,0,N/A,0,N/A,, -,,,29-04 12:59:26
Pushpanjali Medical Centre- Pushpanjali Enclave- Vikas Marg Ext.,N/A,8851743778,0,N/A,0,N/A,, -,,,29-04 12:59:30
